adjective;Frame_realisation;Frame_frequency
supérieur;SUJ:NP;20
supérieur;SUJ:NP,P-OBJ:PP[de];1
dépendant;SUJ:NP;4
dépendant;SUJ:NP,P-OBJ:PP[de];4
suivi;SUJ:NP;1
irréalisable;SUJ:NP;1
autre;SUJ:NP;112
autre;SUJ:NP,OBJ:Ssub[que];5
cultivable;SUJ:NP;2
respectueux;SUJ:NP,P-OBJ:PP[de];1
associatif;SUJ:NP;1
intéressant;SUJ:NP;8
intéressant;SUJ:VPinf[de];2
intéressant;SUJ:NP,P-OBJ:PP[à];1
compris;SUJ:NP;5
compris;SUJ:NP,P-OBJ:PP[entre];3
installé;SUJ:NP;1
indispensable;SUJ:NP,P-OBJ:VPinf[pour];3
indispensable;SUJ:VPinf[de];1
indispensable;SUJ:NP;18
indispensable;SUJ:NP,P-OBJ:PP[face à];1
indispensable;SUJ:NP,P-OBJ:PP[à];6
indispensable;SUJ:SsubS[que];1
radiophonique;SUJ:NP;1
infrarouge;SUJ:NP;1
souple;SUJ:NP;4
charmeur;SUJ:NP;1
arrêté;SUJ:NP;1
racial;SUJ:NP;1
satisfaisant;SUJ:NP;14
satisfaisant;SUJ:NP,P-OBJ:PP[pour];1
satisfaisant;SUJ:NP,P-OBJ:PP[sur];1
matinal;SUJ:NP;1
indo-pakistanaises;SUJ:NP;1
brut;SUJ:NP;23
indissociable;SUJ:NP,P-OBJ:PP[de];1
mystérieux;SUJ:NP;2
promis;SUJ:NP;1
auxiliaire;SUJ:NP;1
rationnel;SUJ:NP;1
accru;SUJ:NP;9
expérimental;SUJ:NP;2
espacé;SUJ:NP;1
homographe;SUJ:NP;1
commun;SUJ:NP;41
commun;SUJ:NP,P-OBJ:PP[avec];2
commun;SUJ:NP,P-OBJ:PP[à];6
mère;SUJ:NP;1
subordonné;SUJ:NP;1
conscient;SUJ:NP,P-OBJ:VPinf[de];1
conscient;SUJ:NP,OBJ:SsubI[que];4
conscient;SUJ:NP;1
conscient;SUJ:NP,P-OBJ:PP[de];7
phytosanitaire;SUJ:NP;2
