code,name,code_postal,latitude,longitude,score
58194,nevers,58000,46.9881194908,3.15689130958,0
58195,la nocle maulaix,58250,46.7633667466,3.76335478199,0
58201,oudan,58210,47.3420705967,3.32896873722,0
58203,oulon,58700,47.198088576,3.40068802026,0
58204,vaux d amognes,58130,47.0613273631,3.30090661535,0
58208,pazy,58800,47.2261642942,3.63097657563,0
58218,premery,58700,47.1734370453,3.32035271062,0
58230,st aubin des chaumes,58190,47.3901624546,3.75721572087,0
58232,st benin d azy,58270,46.9959427892,3.40477178304,0
58235,st brisson,58230,47.2676919884,4.09479104131,0
58236,ste colombe des bois,58220,47.3209444056,3.15350066237,0
58239,st firmin,58270,47.0392467272,3.39435546081,0
58246,st honore les bains,58360,46.899599449,3.85391051025,0
58254,st martin d heuille,58130,47.0480526526,3.23272615742,0
58259,st parize en viry,58300,46.7536799214,3.36701488719,0
58269,st sulpice,58270,47.0624951748,3.36019421637,0
58270,st verain,58310,47.4869956669,3.03383994779,0
58275,saxi bourdon,58330,47.056209327,3.48742996327,0
58277,sermages,58290,47.0153050339,3.84090611605,0
58279,sichamps,58700,47.1558171574,3.27638586284,0
58280,sougy sur loire,58300,46.8604832973,3.40636403321,0
58283,taconnay,58420,47.312512267,3.48949357869,0
58285,tamnay en bazois,58110,47.0541382549,3.72330912305,0
58292,tintury,58110,47.0011371502,3.58766803098,0
58293,toury lurcy,58300,46.7373495509,3.42432236339,0
58297,trois vevres,58260,46.9112215122,3.42242349709,0
58299,trucy l orgueilleux,58460,47.4516802367,3.40054273995,0
58309,villapourcon,58370,46.9380595323,3.95652709792,0
58310,villiers le sec,58210,47.3770117779,3.43752498324,0
58313,vitry lache,58420,47.1914761708,3.56906711354,0
59001,abancourt,59268,50.2368696873,3.20731301738,1
59008,aniche,59580,50.330855319,3.25574141604,0
59017,armentieres,59280,50.6913797537,2.8797155328,0
59022,attiches,59551,50.5138938279,3.06223374765,0
59024,auberchicourt,59165,50.3299785774,3.22782402703,1
59025,aubers,59249,50.5960514415,2.81995366841,0
59039,awoingt,59400,50.153637436,3.28601914646,0
59041,bachant,59138,50.2081006997,3.8751600192,0
59042,bachy,59830,50.5435916608,3.26883958433,0
59043,bailleul,59270,50.7274252798,2.7379912081,0
59045,baives,59132,50.0673923236,4.20393625141,0
59046,bambecque,59470,50.9087831017,2.56046766711,0
59048,bantigny,59554,50.2342835957,3.23612444557,0
59050,bas lieu,59440,50.1443528184,3.95104519087,-1
59060,beaurain,59730,50.1779797016,3.55059200886,-1
59062,beaurieux,59740,50.1779588737,4.13702062275,-1
59072,bersillies,59600,50.3244968872,3.99559417236,0
59073,berthen,59270,50.7779383016,2.6875622719,0
59091,borre,59190,50.731528018,2.58086143092,0
59092,bouchain,59111,50.2808463643,3.3121651121,0
59094,bourbourg,59630,50.9424001702,2.20355448436,0
59099,bousies,59222,50.151363705,3.61511089589,0
59108,briastre,59730,50.154815937,3.48675100947,0
59110,brouckerque,59630,50.9515630712,2.28707334994,0
59117,bugnicourt,59151,50.2910659273,3.15468753018,1
59138,cattenieres,59217,50.1329900452,3.33660861697,0
59140,caullery,59191,50.0824546804,3.37276572782,0
59141,cauroir,59400,50.1720373952,3.29914293305,0
59148,clairfayts,59740,50.1564472386,4.12464922424,-1
59152,comines,59560,50.7497420422,3.01679477405,0
59162,crochte,59380,50.9238758959,2.39595026667,0
59164,croix caluyau,59222,50.152088377,3.58548579583,0
59168,cysoing,59830,50.5639123041,3.21398704215,0
59181,dourlers,59440,50.1745636905,3.94546756925,0
59183,dunkerque,59430,51.0307229078,2.33752414095,0
59194,englefontaine,59530,50.1933240477,3.64157019307,0
59199,erchin,59169,50.3168262116,3.17348026694,0
59200,eringhem,59470,50.889329927,2.31351250902,0
59201,erquinghem le sec,59320,50.6103293262,2.93381789085,0
59202,erquinghem lys,59193,50.6700847929,2.84140786831,0
59203,erre,59171,50.3693524443,3.31597211762,0
59208,escobecques,59320,50.6212631237,2.93273720306,0
59210,esquelbecq,59470,50.8902971553,2.42902144416,0
59214,estrees,59151,50.2977355864,3.07513052042,0
59218,etroeungt,59219,50.0620601477,3.94319652795,0
59219,estrun,59295,50.2447242764,3.29498867507,0
59225,feignies,59750,50.2944744456,3.90909278075,0
59226,felleries,59740,50.1407847953,4.05118081621,0
59231,ferriere la petite,59680,50.2403988666,4.02739766598,0
59242,fontaine au bois,59550,50.1363749485,3.64250579372,0
